,sepcv001T1,sepcv002T0,sepcv003T0,sepcv004T0,sepcv005T0,sepcv006T0,sepcv007T1,sepcv008T1,sepcv009T1,sepcv010T0,sepcv011T0,sepcv012T1,sepcv013T1,sepcv015T1,sepcv016T1,sepcv017T0,sepcv018T1,sepcv019T0,sepcv020T0,sepcv021T0,sepcv022T0,sepcv023T1,sepcv024T1,sepcv026T0,sepcv027T0,sepcv028T1,sepcv029T1,sepcv030T1,sepcv031T1,sepcv032T1,sepcv033T1,sepcv034T1,sepcv036T0,sepcv037T0,sepcv039T1,sepcv040T1,sepcv041T2,sepcv042T0,sepcv043T1,sepcv044T0,sepcv045T1,sepcv047T1,sepcv048T1,sepcv049T1,sepcv050T1,sepcv051T1,sepcv052T1,sepcv053T1,sepcv054T1,sepcv055T1,sepcv056T1,sepcv057T1,sepcv058T1,sepcv059T1,sepcv060T1,sepcv061T1,sepcv062T1,sepcv063T1,sepcv065T0,sepcv066T1,sepcv067T1,sepcv068T1a,sepcv069T1,sepcv070T1,sepcv071T1,sepcv072T1,sepcv073T1,sepcv074T1,sepcv075T1,sepcv076T1,sepcv077T1,sepcv078T1,sepcv079T1,sepcv080T1,sepcv082T1,sepcv083T0,sepcv084T0,sepcv085T1,sepcv086T1,sepcv087T1,sepcv702W1,sepcv703W1
TMEM126A,6.258007,5.008428,6.420219,5.74561,4.850062,5.505119,5.757988,5.687141,4.470749,5.682564,4.913301,6.394993,5.121934,5.878503,5.691389,6.28021,4.972667,6.30028,5.796706,5.426758,5.411137,5.712932,4.879969,4.756464,5.940001,5.977528,5.685897,5.381831,5.599978,6.232048,6.103109,5.533016,5.997156,4.832096,5.603917,5.54733,5.207401,4.207454,5.566773,5.386342,5.18559,6.212317,6.165673,5.14224,4.94889,4.174799,5.98404,4.147873,6.243434,5.606078,5.569555,5.994653,5.396914,5.608301,4.614138,4.774907,5.678427,5.241006,5.489034,5.79911,5.629052,4.944755,3.864086,5.347571,5.621089,5.368122,5.215007,5.590838,4.865806,5.753187,4.597575,6.239098,4.607403,5.839539,5.288758,5.124869,5.183312,4.831178,6.07891,5.337691,5.087708,4.851077
TPPP,3.083088,4.93651,2.067789,4.869096,3.776663,2.23905,3.297158,3.125417,2.794838,2.6258,3.263271,4.137917,4.719557,2.558764,5.011142,3.693988,3.635663,2.118756,3.455675,2.52925,4.409339,3.112492,2.920551,4.524373,3.662447,3.796996,3.428379,4.4022,3.7172,1.343756,3.830482,3.603791,2.922428,3.955202,3.425912,3.646158,1.343756,4.638681,5.413074,5.03669,3.646494,1.938668,4.448646,4.040574,4.731613,4.90096,3.056829,2.84121,1.92724,2.204873,3.353879,4.137033,3.799814,4.909827,2.571027,3.405157,2.51181,2.320667,4.378957,3.20738,3.894697,3.193995,6.205829,3.717785,3.74893,2.026622,3.086746,3.377833,6.100894,2.979548,2.699172,3.246617,4.585194,3.248556,2.813726,4.571386,4.749566,3.677201,3.435109,3.972919,3.034963,4.648959
MRPL13,6.604231,5.561791,6.800352,6.152916,4.657876,5.73862,5.645391,5.849972,5.732304,5.635291,4.993288,6.476048,5.66908,6.441402,5.505043,5.819661,5.770939,6.713314,5.951434,5.411424,5.595916,6.412625,6.006393,5.172708,5.794335,6.600475,5.238807,5.38286,5.732788,5.218065,5.944283,5.146054,6.354923,5.433818,6.382276,6.007358,4.867249,4.415092,6.076784,5.718844,5.828779,6.625891,5.92579,5.234464,5.799389,5.363975,6.38561,4.862249,7.377107,5.581288,5.964455,6.065133,5.546506,5.466143,5.184754,4.828094,6.336643,6.746412,6.224992,5.853502,6.011647,5.432117,3.765407,5.267347,6.09791,5.462173,5.570779,5.26217,5.128847,6.194412,3.230487,7.00878,4.97628,6.078618,5.24593,5.054287,5.29461,5.249509,6.828701,5.710377,5.307969,5.079263
CHCHD1,6.982805,7.154765,6.730438,6.817993,6.873875,7.192173,7.569301,6.919064,7.919881,6.40059,7.056009,7.300317,6.770257,8.055301,7.307566,6.589218,7.217463,7.065083,6.856011,6.876216,7.014737,7.237257,8.023854,6.272071,6.503788,6.559839,6.238336,6.606012,6.869254,6.881021,6.981767,6.985472,6.531384,6.717294,7.451676,6.805474,7.294214,6.732767,6.177858,6.868648,6.279387,6.923296,6.771556,6.531272,6.740142,6.385975,7.188729,6.992491,7.541365,7.202258,6.647508,6.29178,6.440837,7.051324,7.038101,6.499561,6.41819,7.395573,6.601721,6.330602,7.203617,6.682971,6.199639,6.571831,7.032548,5.984226,7.143624,6.213029,6.56557,6.810128,6.570113,7.036518,6.151339,6.87507,6.315841,6.260857,6.447715,6.729138,6.972976,7.002098,6.639752,6.720283
PDP2,6.374679,5.242971,5.526508,4.781057,6.204484,6.477283,5.555036,5.69805,5.482496,6.532626,6.357534,5.087909,5.158751,4.780777,5.124693,5.90783,5.869391,5.381581,6.403842,5.728289,5.480788,5.378253,5.127972,5.495081,5.634517,5.798018,5.901514,5.916993,4.935897,5.070969,5.775011,5.221551,5.659986,4.408125,5.805126,6.325588,4.538742,5.767647,6.107319,5.304051,4.860366,5.59171,5.566113,4.335548,6.784796,4.746386,5.47739,5.519328,5.826058,5.659273,6.617838,6.425398,5.234495,5.834949,4.66317,5.580534,4.789098,6.308778,5.237387,5.730195,5.014681,4.763358,5.933276,6.679075,4.139994,6.012621,4.878154,4.921399,5.446603,6.210875,5.975013,6.344281,5.867387,4.42687,5.053711,5.949822,6.296694,5.669974,5.814541,4.968156,6.164431,6.525269
UQCRH,8.166662,7.203742,7.833886,7.566915,7.691587,7.664328,8.116764,8.31912,8.310026,6.999795,7.509173,7.736398,7.998128,8.654105,8.030806,8.055714,7.566464,8.905087,7.132158,7.637589,8.069726,8.850856,7.596015,6.998011,8.079457,7.877975,6.859132,7.547926,7.654601,7.910626,8.24343,8.151654,7.961374,6.987259,8.027357,7.902463,7.443006,8.939163,7.435757,7.632453,7.145921,8.100083,7.838093,7.702914,7.498496,6.839627,9.13158,6.088655,8.880507,7.104028,6.909567,7.323509,7.886528,7.878095,6.893941,7.7612,7.415663,7.627321,8.667049,7.825244,7.616002,7.017698,6.239808,6.861237,7.621907,8.014878,6.69994,7.931975,8.187838,8.20985,6.263538,8.552465,7.210244,7.637487,6.924105,7.682502,7.369504,7.547871,8.237135,7.519382,6.655666,6.948002
ATP5MK,7.163178,7.063855,7.872342,7.216146,7.010772,7.446951,7.097436,7.719123,8.070866,6.390186,6.868855,7.766328,7.524812,8.413495,7.066407,7.549962,7.938032,7.694356,6.932653,7.189738,7.712061,7.922718,7.601014,6.991363,7.122591,6.851132,6.226953,6.880266,7.148723,7.644649,7.257286,7.771531,7.196072,6.786265,7.15208,7.544499,7.43836,7.308807,6.737674,7.172251,6.592741,7.426193,6.960679,6.834255,6.753338,6.432678,7.357102,6.260569,8.101103,7.063358,6.688351,6.885097,6.695783,7.171035,6.504539,6.879029,7.348571,7.474776,7.735003,7.328147,7.121983,6.616451,5.37476,6.336183,7.525371,6.171195,7.25782,6.932913,7.107102,7.401034,5.52661,7.663053,6.550913,7.101869,7.033989,6.837881,6.617721,6.990164,7.579224,7.437343,6.32678,5.573383
GK5,7.577269,6.8098,9.839675,9.926862,7.421274,7.676752,6.043067,6.936919,8.320438,7.445642,6.165065,9.266398,7.795899,7.747548,7.874216,7.622165,7.486105,7.759879,7.67936,7.848827,8.297051,9.329726,6.557252,7.224178,10.117129,6.906232,7.220692,6.833645,6.576538,7.001318,6.718065,7.40291,7.688187,8.024593,6.111131,7.723673,7.465938,6.651192,7.677441,6.799146,7.083526,7.216173,7.887403,6.510098,7.120085,6.938405,6.591099,7.954228,8.244075,6.448184,7.525967,8.283221,6.969286,6.946199,6.699286,7.425285,8.390361,9.027403,6.370333,7.615136,6.70181,8.249233,6.621581,7.355033,6.933158,6.376275,7.948768,6.971554,7.058483,7.048486,7.154976,8.108715,6.730381,6.836919,7.279606,7.6803,8.070023,7.487859,7.869819,8.02986,6.912038,7.142256
UCP3,4.940005,4.215128,4.051252,5.147134,4.98269,5.63661,4.64265,5.202921,4.19631,5.071383,5.118209,4.154182,5.265622,4.521451,4.837724,4.890254,6.019069,4.491588,4.935895,4.832964,4.353352,3.812986,4.409315,5.295637,4.227789,4.893506,5.486801,4.710061,5.36409,4.407933,4.955234,4.213661,5.100143,4.295913,5.130512,4.837897,4.886327,4.49273,4.702351,4.952132,4.866791,4.545502,5.050614,4.545749,4.869171,5.003256,4.562404,5.066423,4.497114,5.502859,5.361064,6.043241,4.834455,4.903945,4.885163,4.470541,4.792779,4.406141,4.157241,5.120216,4.96644,4.347838,5.557985,5.277639,5.438165,5.448742,5.181501,4.495368,5.7174,4.387634,5.252412,5.23387,5.174714,4.938727,5.099137,5.027142,4.778908,5.73389,4.675101,5.450463,5.035404,5.78002
TMEM70,7.468014,6.705598,7.233442,8.523964,6.866906,7.573853,7.767873,6.624964,7.695194,6.607389,6.966308,8.11267,7.387961,8.271523,7.407368,7.233238,8.218954,7.25846,6.725098,7.745455,7.621623,7.682,8.151512,7.136275,7.121514,6.694769,6.920753,6.848639,6.74885,6.703169,6.760727,7.11138,7.257061,7.807477,6.693874,7.041842,8.035358,7.037032,6.545471,6.74641,6.649735,7.470596,6.850603,7.913787,7.171912,7.627728,6.999077,8.192338,7.862234,7.730747,6.230298,6.243943,7.086467,6.974222,7.503066,7.999898,8.215108,8.719381,6.900575,6.920925,7.122522,7.564471,6.226976,6.159843,7.398787,6.09827,8.152202,7.494405,7.45857,7.361812,5.808809,7.441306,6.973075,7.717571,7.348701,6.795922,7.123755,7.694655,7.033997,7.60373,7.020766,6.432256
MSRA,6.046005,8.125117,8.040163,8.068241,7.0951,6.664764,6.638811,6.437147,9.549795,6.116619,7.338207,8.82349,8.454255,9.403098,7.978687,6.560443,8.05563,7.784237,6.165216,7.936412,8.310467,8.123489,8.978951,7.332889,8.562853,7.666593,6.897963,6.971678,8.640489,8.205148,6.093387,8.019473,6.157655,9.192417,7.251659,7.798606,8.616871,7.112233,6.730267,6.733981,6.64238,6.73057,7.066673,8.37002,7.272927,8.129137,6.663216,9.130467,8.049451,8.054728,5.811701,6.295543,7.453727,7.077373,8.326779,8.302658,9.803718,8.970237,6.547962,7.340936,7.688584,8.713361,7.567813,6.076604,8.320242,7.562382,8.759684,6.854715,6.920338,6.154142,7.434368,6.45728,7.915899,6.794806,8.550213,7.350016,7.876207,6.4304,7.088283,7.219405,6.57412,7.090739
ERN1,7.916079,8.382464,9.481049,10.279303,8.753399,8.741662,7.806618,8.170934,8.445219,8.504298,8.592796,8.544047,9.712935,8.571319,9.566457,8.947858,8.870226,7.424001,8.796806,9.363441,9.178344,8.554201,8.948159,9.146266,9.245236,8.744142,8.368415,8.538742,8.943646,8.382794,8.178229,8.372649,7.987667,9.362574,8.549641,9.509883,9.031936,10.1947,9.77338,9.724986,7.547124,8.142476,7.89958,9.458027,9.052363,11.078772,7.54323,9.445826,7.946307,8.262868,8.302252,8.574642,8.583837,8.911883,8.06123,9.22224,9.404997,8.708479,8.668886,9.036532,8.33838,8.651643,8.547088,8.335021,8.551963,6.981939,9.03929,9.919189,10.779098,9.281678,8.361024,8.796349,9.721418,9.553027,9.00889,9.775446,9.38756,9.495495,8.241047,9.346761,8.757224,8.300198
TCAIM,6.779928,5.865573,7.4202,7.766598,6.339406,6.326721,6.480176,6.386186,7.41539,6.383789,6.012891,7.041452,7.228471,7.514853,6.91322,6.710566,7.110175,7.644149,6.979549,6.762119,7.362395,7.613433,6.640241,6.593211,6.967096,6.54806,6.590554,6.542077,6.238131,6.509057,6.232472,6.735071,7.129275,6.910157,5.665878,6.81736,7.403201,6.17842,6.460851,6.515753,6.524574,6.509092,7.090895,6.904844,6.427779,6.543567,5.93636,7.541325,8.156374,6.396349,6.496574,6.492513,6.403625,6.075013,6.54798,6.897154,7.120594,7.280985,5.997506,6.382907,6.283128,7.333899,6.12656,6.220032,6.515561,6.247748,7.592421,6.267042,6.166796,6.551843,5.704863,6.75059,5.938205,6.574887,7.182692,6.503711,6.333194,7.092377,7.063686,7.262855,6.215951,6.112416
HIGD1A,7.313974,5.798107,8.005557,7.28504,6.507797,6.680338,6.452052,7.571954,7.669511,5.828134,6.199759,7.083441,7.536236,7.988407,6.926198,7.664657,6.980081,8.12485,6.556653,7.458509,8.471056,7.93965,7.224133,6.17053,7.570996,6.537301,6.142498,6.410667,6.110101,7.858837,6.161494,7.214001,6.802823,6.835335,5.324968,7.28213,7.404223,7.731347,5.945529,6.233958,6.169463,6.396283,6.299747,6.791793,6.457922,6.66175,6.252841,7.094464,7.536428,6.694412,6.014641,6.376695,6.05243,6.436,6.622705,7.151827,7.261963,8.116697,8.100898,6.482481,6.449894,7.182108,5.181525,5.450321,6.614161,5.487645,7.412429,6.503309,6.242166,6.825098,4.969564,6.973967,5.561846,6.813035,7.067908,6.232903,5.834715,6.075718,7.241481,7.094947,5.909806,5.737329
TDRKH,5.479069,4.804125,4.74547,3.991263,5.283342,5.402243,4.279665,5.685524,3.491769,6.271598,4.303221,4.75201,4.502363,4.555723,4.2087,5.970534,4.736936,5.580885,5.868816,4.783419,3.962806,5.051795,4.026572,5.249581,5.137201,5.452061,5.474113,5.03768,4.741526,4.632,5.904046,5.07526,5.600977,4.328296,4.532965,5.145304,4.575449,5.60726,5.276126,4.674179,5.316447,5.372762,5.899545,4.188882,5.370151,5.344699,6.000643,5.149477,5.340533,4.865011,6.225899,6.188323,5.309181,4.469131,4.8208,4.964078,4.556227,4.546304,5.501371,6.027884,4.970024,5.062233,5.755858,5.811944,4.030885,5.813784,4.471911,5.225078,4.66767,4.334879,5.865521,5.059278,5.709316,3.897918,5.069282,5.030041,5.902322,4.746231,5.499256,4.872,5.055525,5.238037
PYCR1,5.054354,2.815688,2.257856,2.396773,5.013572,4.645786,5.35457,3.747145,2.519887,4.777263,3.004446,2.7439,2.293048,2.243912,2.593979,3.209056,3.939615,3.207771,3.013867,2.765414,2.85884,3.67458,2.267958,1.211157,3.979166,5.078827,3.30293,3.719302,2.902764,4.241778,3.432072,4.292612,4.233297,2.302824,4.909112,4.34459,1.211157,4.077297,2.958509,2.177607,2.863288,5.27427,2.757481,2.383789,4.347169,2.771735,6.049316,3.430183,5.186191,3.104098,2.963564,2.143046,2.669163,6.019042,3.512642,3.338301,2.743201,2.902149,5.283899,3.644583,3.382927,3.452373,3.585801,4.575052,1.941907,3.100617,2.210576,2.642188,4.212296,5.10365,4.732347,5.226231,4.555973,2.286853,3.453531,2.726104,2.429137,3.944753,4.684637,1.930225,4.056097,3.846297
AIFM3,3.813299,6.291506,3.667097,4.768805,4.226786,4.422941,4.952759,4.240004,1.26962,3.94464,5.817381,4.247168,3.535492,4.17243,5.529826,4.498726,3.989953,3.225219,5.30633,4.234696,4.587118,3.610936,4.291549,4.82315,1.26962,3.241026,5.25331,5.301293,4.55406,4.624902,4.894258,4.832421,3.912103,5.299361,4.595824,4.23916,4.321929,3.380742,5.685926,5.399384,5.73159,4.375523,5.092504,4.554691,3.626492,4.894307,4.044141,3.064519,3.402138,4.409507,5.236308,4.193326,5.187979,4.549407,4.580514,4.1499,3.143161,3.676296,3.916448,3.929513,5.510665,4.477258,6.300267,5.040044,4.494773,3.136059,3.962737,5.027107,3.219409,4.246578,4.754243,3.32885,4.647986,4.314264,4.230119,4.281603,4.870895,5.383197,4.218631,4.689999,5.677136,5.182503
MAFF,5.883911,6.072899,6.12718,4.962772,6.18812,6.591772,7.273864,6.072753,5.706799,6.079475,6.722862,5.349585,5.130289,4.955359,5.619065,5.710298,6.066213,4.758026,5.356868,4.276006,5.125462,6.10615,6.778442,4.520953,8.526221,5.345196,5.068878,6.080173,6.805659,8.072521,4.698697,6.337836,6.989374,5.65229,6.485321,6.828393,4.978693,5.978677,5.32152,5.265801,5.616366,5.611504,4.47324,6.046753,6.905596,5.82347,5.025748,3.650926,4.814938,5.260299,5.453486,5.625504,4.248673,7.388751,5.759188,5.225459,5.252016,5.466916,7.26811,5.189785,5.647768,4.139667,5.89057,5.36659,6.589907,4.621164,6.483724,7.251775,5.411464,5.449595,6.829537,5.636273,6.208129,5.224931,4.492745,5.570181,5.776886,7.490465,6.16269,4.715317,5.671912,5.931975
ANKRD37,3.779568,3.638998,4.381784,4.015939,3.437415,3.448095,4.65945,3.901158,5.635138,3.779989,3.631788,3.645454,4.053554,4.346695,4.900028,3.002073,3.885372,3.560815,4.390531,4.602892,4.668945,3.955938,5.348237,3.428881,3.893461,4.385321,3.47765,4.093609,2.972033,3.994666,4.427292,5.045553,4.303171,3.617824,4.109398,4.956876,4.400094,4.851895,2.38898,3.628167,3.504371,3.844601,4.013002,3.780684,4.146286,5.276687,4.121085,3.299879,4.057784,3.59629,3.762628,3.818195,3.979207,4.098196,3.569846,4.366262,5.058287,4.555761,3.664766,3.666207,4.289704,4.17448,3.569938,3.896944,5.076411,3.501108,4.074649,4.772905,4.412993,3.988314,4.372865,3.88803,4.607468,3.513217,4.435143,4.530648,4.179535,4.658847,5.058528,4.028008,3.944769,3.848977
NDUFA4,8.008183,7.77364,8.444326,7.960902,7.578347,7.647606,8.283917,8.717496,9.525022,7.105792,7.272771,8.188697,8.166997,9.779071,7.977483,8.757823,7.506583,9.539055,7.547488,8.019574,8.302017,9.061429,8.431525,7.352652,8.629437,8.02755,6.812349,7.123492,8.288895,9.295672,8.233046,8.162147,8.241108,7.31351,8.40129,8.214486,8.720425,8.731056,7.287495,7.393622,7.893487,7.905518,7.988898,8.007674,7.436298,7.016642,8.892899,7.386878,9.431268,7.886855,7.115087,7.40989,8.064951,7.753205,7.274429,7.550465,8.427653,8.780847,9.026173,7.858999,7.912472,7.845461,6.655739,7.339265,8.455999,7.089583,8.100864,7.721926,7.309194,8.7463,6.682384,8.417688,7.147767,7.718576,7.91959,7.104192,7.187211,6.941852,8.166978,7.903798,7.027702,6.461327
FHIT,5.813777,5.41066,3.843397,5.874314,5.78182,6.740816,6.38718,6.444694,5.389607,4.447763,6.996675,5.031092,4.857006,4.597708,5.212876,6.034366,5.267551,5.278255,4.885863,4.89031,4.784275,6.457953,4.311563,6.717173,4.08457,5.723344,5.976925,4.839698,4.770782,4.970548,7.687691,4.798119,6.36543,4.175555,4.823454,4.814379,4.81907,5.577202,6.734828,6.009889,5.509831,5.726489,7.075341,5.2006,5.691583,4.861234,5.477256,4.221643,3.895828,6.078593,6.23597,5.478565,5.482709,6.42915,5.495157,5.908209,4.50259,4.931015,6.45964,6.905769,5.19482,4.287353,5.951817,6.602639,4.892358,3.812491,4.946835,5.639285,5.403231,4.35027,5.436346,4.387743,6.869705,4.285695,7.112513,7.006738,6.368168,4.92313,5.432384,5.176927,6.368526,6.592986
PTPN1,9.835122,9.457895,10.156412,10.220016,9.886107,10.247274,10.288331,8.878588,11.084797,9.928789,9.225834,10.432792,10.416923,11.053283,9.61794,8.981061,10.54681,9.909207,9.416138,10.266051,10.482056,10.63073,10.726444,9.227303,10.929251,9.73454,9.960349,9.191922,9.711605,9.321003,9.09276,10.182868,10.840657,10.80938,9.532919,9.920874,10.877226,9.480959,9.34294,9.230703,9.578246,9.946566,9.321276,9.853679,9.790682,9.842039,9.145212,10.895809,10.453915,9.801055,9.593095,9.262072,9.279577,9.865776,10.588653,10.261584,10.288316,10.855068,9.197007,9.366839,9.51911,10.776197,9.556236,9.616986,9.799193,10.775638,11.396827,9.13212,9.962832,9.474572,9.573596,9.549334,9.563546,9.232923,10.249463,9.797566,9.542007,11.546659,9.31914,10.104066,9.505741,9.473924
SDHAF3,6.324496,6.191865,7.907701,6.481461,6.285574,7.577525,5.553853,5.065743,7.462268,5.907094,5.094435,7.979847,7.308897,8.171141,6.614794,5.568275,7.634623,7.008916,5.691064,6.512032,7.546849,8.072936,6.584396,5.214182,7.628397,5.425402,5.932451,5.547565,5.030626,5.791393,5.112695,6.704768,6.171679,7.456692,5.730495,7.226868,7.078961,5.372033,5.379035,4.481985,4.655404,6.627311,6.171734,6.207118,5.659368,6.509361,5.143906,7.379746,7.825523,4.953513,4.971789,5.074245,5.831732,7.29687,6.118635,6.471906,7.348754,8.273323,5.777448,5.336171,6.34686,7.065581,4.839617,5.293979,6.716399,5.320178,8.113987,5.963299,6.73012,6.032759,4.967137,6.204537,6.040089,5.710708,5.981969,6.411672,6.05344,7.163529,6.603106,6.746514,5.110576,5.256931
HSH2D,10.59816,11.105851,8.357686,10.175502,10.356211,10.967213,9.746845,9.914789,8.328528,11.510873,11.432235,8.333639,9.198352,8.355767,10.444426,10.514455,12.614763,7.812484,10.712443,8.734135,9.035996,8.012127,9.595328,11.054812,8.370325,10.502177,12.041359,9.707926,11.024446,10.326314,9.379904,9.913546,10.288781,9.78767,11.475867,10.182904,8.606909,10.543782,11.081639,10.939406,11.0045,11.470429,10.218215,10.103677,11.234531,9.79469,10.067587,12.073885,8.603924,9.991741,11.437492,10.665553,9.418502,11.265303,10.893705,9.127238,10.076753,8.332428,9.366361,9.800537,10.342103,9.138415,11.34642,11.141427,10.297322,10.108061,10.103902,9.792286,10.404863,10.91176,11.845406,10.922717,10.430736,9.927258,10.07299,9.063929,9.766794,11.197298,8.65153,9.441308,12.205812,12.728235
PPTC7,9.426433,7.684598,7.996831,9.05783,9.044459,8.847409,8.51193,8.761726,6.819176,8.054425,8.875459,7.622589,9.089195,7.457762,9.07794,9.262126,8.993816,6.827155,8.614717,8.75724,8.159786,7.418244,8.696005,9.363239,7.827196,8.627483,8.176499,8.951347,7.964226,8.831181,8.04413,8.951436,7.997785,9.3109,7.892007,9.129863,8.023528,9.798068,9.331294,9.233026,8.335739,8.263216,8.452213,8.546449,9.815118,9.671028,7.238942,8.615104,7.130556,8.451405,8.307404,9.187329,8.425085,8.566867,8.936722,9.016395,8.28254,7.886698,9.041127,8.616325,8.830207,7.982171,8.115094,8.235978,8.604696,8.139337,9.754912,8.742649,9.593012,8.869943,7.244382,8.465397,7.953478,9.53452,8.838435,8.269209,8.740426,9.71489,8.098635,9.013302,8.652783,7.7888
METTL9,11.061204,11.598938,11.988609,11.4661,11.664079,11.852969,11.836712,12.149012,12.685122,10.008796,10.187635,13.387334,11.896935,13.388983,11.34148,11.245,12.637823,12.283607,10.955177,12.123459,12.736203,12.458735,12.321797,10.001325,11.995467,10.4034,11.080393,10.922278,10.932197,12.962321,9.544619,12.212814,11.83668,13.066435,10.867326,11.917048,12.800539,13.607898,10.181883,10.602655,9.375985,11.021917,10.527068,11.940598,10.606403,11.135428,10.58625,12.532168,12.749448,11.163644,9.877384,9.350073,10.815981,11.526221,11.951937,12.161632,12.371018,13.163895,13.371261,11.241321,11.273594,12.879411,10.076321,8.960983,11.629795,10.708702,12.617187,12.062986,10.668385,10.472593,10.595158,11.038182,10.874699,10.652155,11.588797,11.021168,10.906918,11.80778,11.330312,11.807281,10.02376,9.958971
SRC,7.54549,9.287762,7.05358,7.413088,7.761365,7.428698,8.985553,6.784071,4.344495,7.878571,7.511724,6.920694,6.143184,6.165403,6.394717,6.864712,7.28007,7.58586,7.224331,7.101555,6.379361,7.240665,7.749585,7.555459,6.807004,6.774907,8.726279,7.526814,7.453962,7.451819,6.909726,7.303916,7.355881,7.201415,6.562843,6.625022,6.503527,8.576909,7.44451,6.868733,8.683472,7.150739,6.626521,6.275359,7.488109,7.065645,7.655343,7.076106,6.147912,7.363147,7.428999,6.879416,7.789427,6.532522,7.409291,7.372681,6.58835,6.665372,6.644039,7.190636,7.479283,6.860316,9.125611,8.219043,7.998871,6.53274,6.043558,7.236286,6.630922,7.685757,8.393333,6.094538,7.385483,6.722871,6.761567,5.32176,7.619654,5.984963,6.815007,6.2484,7.729407,8.305752
SLC29A3,4.703323,5.987423,4.417802,5.265038,4.903576,4.269995,5.877238,5.434854,3.854815,5.202966,6.233366,4.824597,5.302494,4.739012,5.654718,5.984408,4.572484,5.171482,5.710864,5.670577,5.379311,4.795944,5.369218,5.854273,4.418289,4.862644,5.450085,5.718219,5.697756,6.055854,6.080576,5.50573,4.763535,5.807924,5.584514,4.436038,5.329504,4.610507,6.294971,6.036083,6.178543,5.252002,5.654965,5.534193,4.805199,5.229714,5.37974,4.454933,3.75439,5.507376,5.829952,5.978827,6.036701,4.524879,5.348631,5.826121,5.42401,4.485011,4.64828,5.424637,5.97573,5.256455,6.446269,5.894064,5.983836,5.412401,4.975493,5.965022,5.247308,5.073787,6.052069,5.269885,5.790704,5.872406,5.498662,5.390641,6.313741,4.625669,4.856701,6.180322,5.705034,5.545591
NOS1AP,2.318373,2.233295,2.81654,3.503359,3.17336,3.392172,1.950193,1.727689,4.553409,2.53788,1.747489,3.594293,3.316878,4.480977,2.814705,2.928771,3.419789,4.000573,2.333006,4.079067,3.155108,5.019235,3.601198,1.092853,3.58114,3.084212,3.025839,2.88012,2.757232,2.044517,2.221012,2.930441,3.400705,3.426785,2.797747,3.764514,6.11384,3.335682,1.82589,2.248431,1.092853,2.634063,3.338584,3.376999,4.064894,3.18744,3.331775,4.637759,5.140103,2.313203,2.387751,1.845221,2.527391,2.709732,2.904936,3.253729,2.850586,2.986303,1.092853,2.126393,2.024699,3.43568,2.651859,2.023265,3.116094,1.786156,2.287243,2.50085,2.799536,2.844668,3.114421,3.133861,3.182629,2.670321,2.585289,2.938837,2.291229,3.549185,3.478438,2.986295,2.079641,2.280537
HSPA1A,9.683186,11.542416,10.106146,10.664257,10.736921,9.630481,9.192754,8.869908,12.476436,9.225279,10.2485,12.134986,11.823987,13.329744,10.848944,7.622768,11.347903,11.793248,9.533444,10.71457,11.582709,11.663728,12.256545,9.34658,11.152364,9.67532,10.227496,9.729037,10.772822,10.135552,8.453325,10.138197,8.058491,12.461147,10.461386,10.87214,11.743889,10.95539,10.004732,9.954996,8.486959,9.088636,8.903363,11.082297,10.574549,11.65682,8.633882,11.91674,12.041209,10.519779,8.048254,8.35439,9.973654,11.695131,10.988531,10.720261,11.727787,12.5285,9.881119,9.261608,11.389489,11.047018,10.075271,9.057763,11.660287,8.90147,12.109125,10.732798,10.991641,9.457693,10.844787,8.92677,10.843881,10.606205,11.201604,10.591091,10.012827,9.703075,12.377103,10.516029,8.99193,10.616438
SYNJ2BP,6.491744,5.40188,5.870568,6.497791,5.877798,6.278865,5.914909,7.066987,4.539852,6.850822,6.192305,5.943816,6.200049,5.23017,6.503654,7.379343,5.802542,5.945247,7.245858,6.245827,5.489711,6.289045,4.793117,7.220832,6.364387,6.38331,6.420108,6.364692,6.088154,6.055297,7.179915,5.885756,6.164571,5.830548,5.530335,6.305989,5.940056,5.400452,7.063154,6.57593,6.915282,6.258087,7.551395,6.301234,6.012918,6.55242,6.205756,4.718889,5.987676,5.837604,7.089197,7.538646,6.637566,5.766614,4.647346,6.063318,5.843612,6.26206,6.300712,7.216777,6.196237,5.880101,6.139031,6.378145,6.466794,7.034195,6.20869,6.498881,5.932862,5.940066,5.858414,6.468383,6.135277,6.751259,6.644315,7.335894,7.124876,6.580383,6.10239,6.191503,6.506407,6.398067
DDAH2,7.459877,8.081632,8.540761,8.049124,8.867658,9.084798,9.28075,6.359919,11.092558,8.732596,8.359209,8.861033,8.932028,10.419977,7.947624,6.620425,10.085776,8.705851,7.507264,8.365407,9.513457,9.775796,10.060297,6.502226,9.434113,6.297836,8.305377,7.253175,8.157737,7.706806,6.220653,8.683156,8.030285,9.20375,8.77825,8.478597,9.752739,7.336253,7.008719,7.577054,7.758706,8.181302,6.270866,7.953004,8.091329,8.039841,7.314454,10.165509,8.963406,8.357423,7.985009,5.717708,7.663919,9.208873,9.10559,9.060478,9.232168,9.670495,6.996435,6.870323,7.696581,9.328577,7.905881,7.036467,7.835196,7.396028,8.676182,7.929906,8.249676,8.593486,8.366904,7.672892,7.789371,6.983794,8.040986,7.5413,7.308603,8.119019,7.045874,7.702378,8.564642,8.777642
